CAL,Agriculture Crop Byproducts/Straw/Energy Crops,1.0
CAL,Bituminous Coal,4.0
CAL,Black Liquor,1.0
CAL,Disillate Fuel Oil,5.0
CAL,Geothermal,30.0
CAL,Jet Fuel,1.0
CAL,Landfill Gas,37.0
CAL,Municipal Solid Waste,3.0
CAL,Natural Gas,193.0
CAL,Nuclear,2.0
CAL,Other,1.0
CAL,Other Biomass Gases,15.0
CAL,Other Gas,6.0
CAL,Solar,67.0
CAL,Waste Heat,3.0
CAL,Water,80.0
CAL,Wind,58.0
CAL,Wood/Wood Waste Solids,24.0
CAR,Bituminous Coal,25.0
CAR,Black Liquor,6.0
CAR,Disillate Fuel Oil,53.0
CAR,Landfill Gas 16.0
CAR,Municipal Solid Waste,1.0
CAR,Natural Gas,25.0
CAR,Nuclear,6.0
CAR,Oil-Other,1.0
CAR,Other,1.0
CAR,Solar,13.0
CAR,Water,46.0
CAR,Wood/Wood Waste Solids,6.0
CENT,Agriculture Crop Byproducts/Straw/Energy Crops,1.0
CENT,Bituminous Coal,1.0
CENT,Black Liquor,1.0
CENT,Disillate Fuel Oil,73.0
CENT,Landfill Gas,2.0
CENT,Lignite,6.0
CENT,Municipal Solid Waste,1.0
CENT,Natural Gas,106.0
CENT,Nuclear,2.0
CENT,Other Biomass Gases,1.0
CENT,Other Gas,1.0
CENT,Subbituminous Coal,20.0
CENT,Water,10.0
CENT,Wind,37.0
FLA,Agriculture Crop Byproducts/Straw/Energy Crops,2.0
FLA,Bituminous Coal,12.0
FLA,Black Liquor,3.0
FLA,Disillate Fuel Oil,16.0
FLA,Landfill Gas,6.0
FLA,Municipal Solid Waste,10.0
FLA,Natural Gas,53.0
FLA,Nuclear,2.0
FLA,Other,3.0
FLA,Other Biomass Gases,2.0
FLA,Petroleum Coke,1.0
FLA,Residual Fuel Oil,4.0
FLA,Solar,6.0
FLA,Waste Heat,3.0
FLA,Water,2.0
FLA,Wood/Wood Waste Solids,2.0
MIDA,Bituminous Coal,81.0
MIDA,Black Liquor,4.0
MIDA,Blast-Furnace Gas,3.0
MIDA,Disillate Fuel Oil,103.0
MIDA,Kerosene,3.0
MIDA,Landfill Gas,62.0
MIDA,Municipal Solid Waste,16.0
MIDA,Natural Gas 127.0
MIDA,Nuclear,12.0
MIDA,Oil-Other,2.0
MIDA,Other,1.0
MIDA,Other Biomass Gases,3.0
MIDA,Other Gas,5.0
MIDA,Petroleum Coke,2.0
MIDA,Residual Fuel Oil,1.0
MIDA,Solar,47.0
MIDA,Subbituminous Coal,5.0
MIDA,Waste/Other Coal,15.0
MIDA,Water,40.0
MIDA,Wind,20.0
MIDA,Wood/Wood Waste Solids,7.0
MIDW,Agriculture Crop Byproducts/Straw/Energy Crops,4.0
MIDW,Bituminous Coal,63.0
MIDW,Black Liquor,11.0
MIDW,Blast-Furnace Gas,6.0
MIDW,Disillate Fuel Oil,283.0
MIDW,Kerosene,1.0
MIDW,Landfill Gas,73.0
MIDW,Lignite,1.0
MIDW,Municipal Solid Waste,9.0
MIDW,Natural Gas,282.0
MIDW,Nuclear,18.0
MIDW,Other,2.0
MIDW,Other Biomass Gases,5.0
MIDW,Other Gas,3.0
MIDW,Petroleum Coke,4.0
MIDW,Purchased Steam,2.0
MIDW,Residual Fuel Oil,1.0
MIDW,Solar,3.0
MIDW,Subbituminous Coal,83.0
MIDW,Waste Heat,5.0
MIDW,Water,126.0
MIDW,Wind,132.0
MIDW,Wood/Wood Waste Solids,17.0
MW,Bituminous Coal,2.0
MW,Black Liquor,1.0
MW,Disillate Fuel Oil,1.0
MW,Geothermal,1.0
MW,Landfill Gas,2.0
MW,Natural Gas,6.0
